Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-4.16417e-07,1960.45,1.03615,0.035,0,5e-06,0.035,0,0,0,0,1
1,6.75676e-07,5.2257e-07,1854.48,1.03615,0.035,6.75676e-07,5e-06,0.035,0.00128783,-3.20102e-09,0,0.00128783,1
2,1.35135e-06,-6.34001e-07,1748.49,1.03615,0.035,1.35135e-06,5e-06,0.035,0.00250412,-2.93273e-09,0,0.00250412,1
3,2.02703e-06,1.18532e-05,1640.87,1.03615,0.035,2.02703e-06,5e-06,0.035,0.00364884,2.41717e-08,0,0.00364884,1
4,2.7027e-06,0.00103337,1519.6,1.03615,0.035,2.7027e-06,5e-06,0.035,0.00471981,8.66599e-08,0,0.00471981,1
5,3.37838e-06,0.00938435,1363.78,1.03615,0.035,3.37838e-06,5e-06,0.035,0.00570076,4.88662e-08,0,0.00570076,1
6,4.05405e-06,0.0291254,1176.64,1.03614,0.035,4.05405e-06,5e-06,0.035,0.00656097,-7.56671e-08,0,0.00656097,1
7,4.72973e-06,0.0510143,993.266,1.03614,0.035,4.72973e-06,5e-06,0.035,0.00728846,-9.14763e-08,0,0.00728846,1
8,5.40541e-06,0.06788,838.788,1.03613,0.035,5.40541e-06,5e-06,0.035,0.00790072,-3.03963e-08,0,0.00790072,1
9,6.08108e-06,0.081077,711.755,1.03612,0.035,6.08108e-06,5e-06,0.035,0.00842001,2.20912e-09,0,0.00842001,1
10,6.75676e-06,0.0921403,603.041,1.03612,0.035,6.75676e-06,5e-06,0.035,0.00886116,7.58614e-09,0,0.00886116,1
11,7.43243e-06,0.101903,506.739,1.03611,0.035,7.43243e-06,5e-06,0.035,0.00923387,6.47605e-09,0,0.00923387,1
12,8.10811e-06,0.110873,419.613,1.03611,0.035,8.10811e-06,5e-06,0.035,0.00954512,5.62808e-09,0,0.00954512,1
13,8.78378e-06,0.119473,339.718,1.03611,0.035,8.78378e-06,5e-06,0.035,0.00980027,5.08282e-09,0,0.00980027,1
14,9.45946e-06,0.128062,265.89,1.03611,0.035,9.45946e-06,5e-06,0.035,0.0100037,4.50434e-09,0,0.0100037,1
15,1.01351e-05,0.136991,197.536,1.03611,0.035,1.01351e-05,5e-06,0.035,0.0101592,3.9708e-09,0,0.0101592,1
16,1.08108e-05,0.146598,134.53,1.03611,0.035,1.08108e-05,5e-06,0.035,0.0102703,3.641e-09,0,0.0102703,1
17,1.14865e-05,0.157217,77.1449,1.03611,0.035,1.14865e-05,5e-06,0.035,0.0103408,3.18664e-09,0,0.0103408,1
18,1.21622e-05,0.165592,37.687,1.03611,0.035,1.21622e-05,5e-06,0.035,0.0103745,1.40065e-09,0,0.0103745,1
19,1.28378e-05,0.165592,37.687,1.03611,0.035,1.28378e-05,5e-06,0.035,0.0103745,-1.40065e-09,0,0.0103745,1
20,1.35135e-05,0.157217,77.1448,1.03611,0.035,1.35135e-05,5e-06,0.035,0.0103408,-3.18664e-09,0,0.0103408,1
21,1.41892e-05,0.146598,134.53,1.03611,0.035,1.41892e-05,5e-06,0.035,0.0102703,-3.641e-09,0,0.0102703,1
22,1.48649e-05,0.136991,197.536,1.03611,0.035,1.48649e-05,5e-06,0.035,0.0101592,-3.9708e-09,0,0.0101592,1
23,1.55405e-05,0.128062,265.89,1.03611,0.035,1.55405e-05,5e-06,0.035,0.0100037,-4.50434e-09,0,0.0100037,1
24,1.62162e-05,0.119473,339.718,1.03611,0.035,1.62162e-05,5e-06,0.035,0.00980027,-5.08282e-09,0,0.00980027,1
25,1.68919e-05,0.110873,419.613,1.03611,0.035,1.68919e-05,5e-06,0.035,0.00954512,-5.62808e-09,0,0.00954512,1
26,1.75676e-05,0.101903,506.738,1.03611,0.035,1.75676e-05,5e-06,0.035,0.00923387,-6.47605e-09,0,0.00923387,1
27,1.82432e-05,0.0921404,603.04,1.03612,0.035,1.82432e-05,5e-06,0.035,0.00886116,-7.58614e-09,0,0.00886116,1
28,1.89189e-05,0.081077,711.754,1.03612,0.035,1.89189e-05,5e-06,0.035,0.00842001,-2.20918e-09,0,0.00842001,1
29,1.95946e-05,0.06788,838.788,1.03613,0.035,1.95946e-05,5e-06,0.035,0.00790072,3.03963e-08,0,0.00790072,1
30,2.02703e-05,0.0510143,993.266,1.03614,0.035,2.02703e-05,5e-06,0.035,0.00728846,9.14763e-08,0,0.00728846,1
31,2.09459e-05,0.0291254,1176.64,1.03614,0.035,2.09459e-05,5e-06,0.035,0.00656098,7.56673e-08,0,0.00656098,1
32,2.16216e-05,0.00938436,1363.78,1.03615,0.035,2.16216e-05,5e-06,0.035,0.00570076,-4.88662e-08,0,0.00570076,1
33,2.22973e-05,0.00103337,1519.6,1.03615,0.035,2.22973e-05,5e-06,0.035,0.00471981,-8.666e-08,0,0.00471981,1
34,2.2973e-05,1.18533e-05,1640.87,1.03615,0.035,2.2973e-05,5e-06,0.035,0.00364884,-2.41717e-08,0,0.00364884,1
35,2.36486e-05,-6.34002e-07,1748.49,1.03615,0.035,2.36486e-05,5e-06,0.035,0.00250412,2.93273e-09,0,0.00250412,1
36,2.43243e-05,5.2257e-07,1854.48,1.03615,0.035,2.43243e-05,5e-06,0.035,0.00128783,3.20102e-09,0,0.00128783,1
37,2.5e-05,-4.16417e-07,1960.45,1.03615,0.035,2.5e-05,5e-06,0.035,0,0,0,0,1
