Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-8.56163e-07,2550.46,0.135835,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,6.75676e-07,0.000534343,2380.42,0.135835,0.0035,6.75676e-07,5e-06,0.0035,0.00167362,5.73496e-07,0,0.00167362,1
2,1.35135e-06,0.0124734,2103.85,0.135828,0.0035,1.35135e-06,5e-06,0.0035,0.00321419,3.28081e-07,0,0.00321419,1
3,2.02703e-06,0.0518071,1711.59,0.135805,0.0035,2.02703e-06,5e-06,0.0035,0.00451344,-5.76094e-07,0,0.00451344,1
4,2.7027e-06,0.0969737,1334.74,0.135768,0.0035,2.7027e-06,5e-06,0.0035,0.00552142,-5.42683e-07,0,0.00552142,1
5,3.37838e-06,0.125129,1066.39,0.135731,0.0035,3.37838e-06,5e-06,0.00350001,0.00631031,-1.41833e-08,0,0.00631031,1
6,4.05405e-06,0.143867,883.941,0.135703,0.0035,4.05405e-06,5e-06,0.00350001,0.00695776,1.15248e-07,0,0.00695776,1
7,4.72973e-06,0.158581,745.409,0.135683,0.0035,4.72973e-06,5e-06,0.00350001,0.00750211,6.35627e-08,0,0.00750211,1
8,5.40541e-06,0.170956,631.373,0.135668,0.0035,5.40541e-06,5e-06,0.00350001,0.00796323,2.86762e-08,0,0.00796323,1
9,6.08108e-06,0.181856,533.718,0.135657,0.0035,6.08108e-06,5e-06,0.00350001,0.00835394,1.94014e-08,0,0.00835394,1
10,6.75676e-06,0.191807,448.017,0.135649,0.0035,6.75676e-06,5e-06,0.00350001,0.00868341,1.5234e-08,0,0.00868341,1
11,7.43243e-06,0.201261,371.556,0.135642,0.0035,7.43243e-06,5e-06,0.00350001,0.00895854,1.10787e-08,0,0.00895854,1
12,8.10811e-06,0.210476,302.698,0.135638,0.0035,8.10811e-06,5e-06,0.00350001,0.00918486,8.03674e-09,0,0.00918486,1
13,8.78378e-06,0.219671,240.493,0.135635,0.0035,8.78378e-06,5e-06,0.00350001,0.00936708,6.08356e-09,0,0.00936708,1
14,9.45946e-06,0.228958,184.407,0.135633,0.0035,9.45946e-06,5e-06,0.00350002,0.00950944,4.70556e-09,0,0.00950944,1
15,1.01351e-05,0.238436,134.153,0.135632,0.0035,1.01351e-05,5e-06,0.00350002,0.00961596,3.65261e-09,0,0.00961596,1
16,1.08108e-05,0.248109,89.5722,0.135631,0.0035,1.08108e-05,5e-06,0.00350002,0.0096905,2.91856e-09,0,0.0096905,1
17,1.14865e-05,0.25796,50.5346,0.135631,0.0035,1.14865e-05,5e-06,0.00350002,0.00973684,2.30852e-09,0,0.00973684,1
18,1.21622e-05,0.265268,24.3789,0.135631,0.0035,1.21622e-05,5e-06,0.00350002,0.00975868,1.09535e-09,0,0.00975868,1
19,1.28378e-05,0.265268,24.3823,0.135631,0.0035,1.28378e-05,5e-06,0.00350003,0.00975868,-6.37631e-10,0,0.00975868,1
20,1.35135e-05,0.257959,50.5419,0.135631,0.0035,1.35135e-05,5e-06,0.00350003,0.00973683,-1.85776e-09,0,0.00973683,1
21,1.41892e-05,0.248108,89.5799,0.135631,0.0035,1.41892e-05,5e-06,0.00350003,0.00969049,-2.48186e-09,0,0.00969049,1
22,1.48649e-05,0.238436,134.161,0.135632,0.0035,1.48649e-05,5e-06,0.00350004,0.00961594,-3.23816e-09,0,0.00961594,1
23,1.55405e-05,0.228959,184.415,0.135633,0.0035,1.55405e-05,5e-06,0.00350004,0.00950942,-4.3223e-09,0,0.00950942,1
24,1.62162e-05,0.219672,240.5,0.135635,0.0035,1.62162e-05,5e-06,0.00350004,0.00936705,-5.73861e-09,0,0.00936705,1
25,1.68919e-05,0.210478,302.703,0.135638,0.0035,1.68919e-05,5e-06,0.00350004,0.00918483,-7.73801e-09,0,0.00918483,1
26,1.75676e-05,0.201264,371.56,0.135642,0.0035,1.75676e-05,5e-06,0.00350005,0.00895851,-1.08315e-08,0,0.00895851,1
27,1.82432e-05,0.191811,448.02,0.135649,0.0035,1.82432e-05,5e-06,0.00350005,0.00868337,-1.50437e-08,0,0.00868337,1
28,1.89189e-05,0.18186,533.718,0.135657,0.0035,1.89189e-05,5e-06,0.00350005,0.0083539,-1.92699e-08,0,0.0083539,1
29,1.95946e-05,0.17096,631.371,0.135668,0.0035,1.95946e-05,5e-06,0.00350006,0.00796319,-2.86026e-08,0,0.00796319,1
30,2.02703e-05,0.158586,745.404,0.135683,0.0035,2.02703e-05,5e-06,0.00350006,0.00750207,-6.35449e-08,0,0.00750207,1
31,2.09459e-05,0.143872,883.931,0.135703,0.0035,2.09459e-05,5e-06,0.00350007,0.00695773,-1.15293e-07,0,0.00695773,1
32,2.16216e-05,0.125135,1066.37,0.135731,0.0035,2.16216e-05,5e-06,0.00350007,0.00631029,1.40556e-08,0,0.00631029,1
33,2.22973e-05,0.0969808,1334.71,0.135768,0.0035,2.22973e-05,5e-06,0.00350007,0.00552142,5.42555e-07,0,0.00552142,1
34,2.2973e-05,0.0518147,1711.57,0.135805,0.0035,2.2973e-05,5e-06,0.00350008,0.00451346,5.76138e-07,0,0.00451346,1
35,2.36486e-05,0.0124768,2103.85,0.135828,0.0035,2.36486e-05,5e-06,0.00350008,0.00321422,-3.28068e-07,0,0.00321422,1
36,2.43243e-05,0.000534626,2380.44,0.135835,0.0035,2.43243e-05,5e-06,0.00350009,0.00167364,-5.73613e-07,0,0.00167364,1
37,2.5e-05,-8.64909e-07,2550.49,0.135835,0.0035,2.5e-05,5e-06,0.00350009,0,0,0,0,1
