Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-3.52203e-07,841.46,0.223157,0.035,0,5e-06,0.035,0,0,0,0,1
1,1.35135e-06,5.10263e-07,795.974,0.223157,0.035,1.35135e-06,5e-06,0.035,0.00110552,9.20503e-11,0,0.00110552,1
2,2.7027e-06,-6.48775e-07,750.49,0.223157,0.035,2.7027e-06,5e-06,0.035,0.00214962,2.10698e-10,0,0.00214962,1
3,4.05405e-06,7.84951e-07,705.006,0.223157,0.035,4.05405e-06,5e-06,0.035,0.0031323,-3.11811e-10,0,0.0031323,1
4,5.40541e-06,-9.40341e-07,659.521,0.223157,0.035,5.40541e-06,5e-06,0.035,0.00405357,-2.98284e-09,0,0.00405357,1
5,6.75676e-06,1.12808e-06,614.035,0.223157,0.035,6.75676e-06,5e-06,0.035,0.00491342,-4.84571e-09,0,0.00491342,1
6,8.10811e-06,2.74451e-06,568.179,0.223157,0.035,8.10811e-06,5e-06,0.035,0.00571184,1.74079e-08,0,0.00571184,1
7,9.45946e-06,0.000695863,518.031,0.223157,0.035,9.45946e-06,5e-06,0.035,0.00644786,9.53673e-08,0,0.00644786,1
8,1.08108e-05,0.00883481,454.463,0.223157,0.035,1.08108e-05,5e-06,0.035,0.00711089,8.72142e-08,0,0.00711089,1
9,1.21622e-05,0.033445,375.689,0.223154,0.035,1.21622e-05,5e-06,0.035,0.0076751,-6.76085e-08,0,0.0076751,1
10,1.35135e-05,0.0664707,295.914,0.22315,0.035,1.35135e-05,5e-06,0.035,0.00812481,-1.32137e-07,0,0.00812481,1
11,1.48649e-05,0.0940964,229.465,0.223146,0.035,1.48649e-05,5e-06,0.035,0.00847316,-5.66968e-08,0,0.00847316,1
12,1.62162e-05,0.115198,178.017,0.223142,0.035,1.62162e-05,5e-06,0.035,0.00874366,4.92874e-09,0,0.00874366,1
13,1.75676e-05,0.132904,136.913,0.223139,0.035,1.75676e-05,5e-06,0.035,0.00895344,1.61142e-08,0,0.00895344,1
14,1.89189e-05,0.148955,102.546,0.223137,0.035,1.89189e-05,5e-06,0.035,0.00911313,1.26267e-08,0,0.00911313,1
15,2.02703e-05,0.164452,73.1588,0.223136,0.035,2.02703e-05,5e-06,0.035,0.0092302,1.00615e-08,0,0.0092302,1
16,2.16216e-05,0.180252,47.9179,0.223135,0.035,2.16216e-05,5e-06,0.035,0.00931058,8.72953e-09,0,0.00931058,1
17,2.2973e-05,0.197068,26.5083,0.223135,0.035,2.2973e-05,5e-06,0.035,0.00935951,7.07015e-09,0,0.00935951,1
18,2.43243e-05,0.21006,12.5309,0.223135,0.035,2.43243e-05,5e-06,0.035,0.00938208,2.95081e-09,0,0.00938208,1
19,2.56757e-05,0.21006,12.5309,0.223135,0.035,2.56757e-05,5e-06,0.035,0.00938208,-2.95081e-09,0,0.00938208,1
20,2.7027e-05,0.197068,26.5082,0.223135,0.035,2.7027e-05,5e-06,0.035,0.00935951,-7.07014e-09,0,0.00935951,1
21,2.83784e-05,0.180252,47.9179,0.223135,0.035,2.83784e-05,5e-06,0.035,0.00931058,-8.72953e-09,0,0.00931058,1
22,2.97297e-05,0.164452,73.1588,0.223136,0.035,2.97297e-05,5e-06,0.035,0.0092302,-1.00615e-08,0,0.0092302,1
23,3.10811e-05,0.148955,102.546,0.223137,0.035,3.10811e-05,5e-06,0.035,0.00911313,-1.26267e-08,0,0.00911313,1
24,3.24324e-05,0.132904,136.913,0.223139,0.035,3.24324e-05,5e-06,0.035,0.00895344,-1.61142e-08,0,0.00895344,1
25,3.37838e-05,0.115198,178.017,0.223142,0.035,3.37838e-05,5e-06,0.035,0.00874366,-4.92874e-09,0,0.00874366,1
26,3.51351e-05,0.0940965,229.464,0.223146,0.035,3.51351e-05,5e-06,0.035,0.00847316,5.66965e-08,0,0.00847316,1
27,3.64865e-05,0.0664708,295.914,0.22315,0.035,3.64865e-05,5e-06,0.035,0.00812482,1.32137e-07,0,0.00812482,1
28,3.78378e-05,0.0334451,375.689,0.223154,0.035,3.78378e-05,5e-06,0.035,0.0076751,6.7609e-08,0,0.0076751,1
29,3.91892e-05,0.00883481,454.463,0.223157,0.035,3.91892e-05,5e-06,0.035,0.00711089,-8.72142e-08,0,0.00711089,1
30,4.05405e-05,0.000695863,518.031,0.223157,0.035,4.05405e-05,5e-06,0.035,0.00644786,-9.53672e-08,0,0.00644786,1
31,4.18919e-05,2.74451e-06,568.179,0.223157,0.035,4.18919e-05,5e-06,0.035,0.00571185,-1.74079e-08,0,0.00571185,1
32,4.32432e-05,1.12808e-06,614.035,0.223157,0.035,4.32432e-05,5e-06,0.035,0.00491342,4.84571e-09,0,0.00491342,1
33,4.45946e-05,-9.40341e-07,659.521,0.223157,0.035,4.45946e-05,5e-06,0.035,0.00405357,2.98284e-09,0,0.00405357,1
34,4.59459e-05,7.84954e-07,705.005,0.223157,0.035,4.59459e-05,5e-06,0.035,0.00313231,3.11812e-10,0,0.00313231,1
35,4.72973e-05,-6.48777e-07,750.49,0.223157,0.035,4.72973e-05,5e-06,0.035,0.00214962,-2.10698e-10,0,0.00214962,1
36,4.86486e-05,5.10264e-07,795.974,0.223157,0.035,4.86486e-05,5e-06,0.035,0.00110552,-9.20503e-11,0,0.00110552,1
37,5e-05,-3.52203e-07,841.46,0.223157,0.035,5e-05,5e-06,0.035,0,0,0,0,1
