Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-2.31459e-06,1231.64,0.0335308,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,1.25e-06,0.00715566,1117.67,0.0335298,0.0035,1.25e-06,5e-06,0.0035,0.00150199,1.01837e-07,0,0.00150199,1
2,2.5e-06,0.0534264,892.152,0.0335187,0.0035,2.5e-06,5e-06,0.0035,0.00275441,-1.35502e-07,0,0.00275441,1
3,3.75e-06,0.0897472,711.349,0.0335031,0.0035,3.75e-06,5e-06,0.00350001,0.00374386,5.7147e-09,0,0.00374386,1
4,5e-06,0.110252,602.05,0.033491,0.0035,5e-06,5e-06,0.00350001,0.00455137,4.15434e-08,0,0.00455137,1
5,6.25e-06,0.125677,519.731,0.033482,0.0035,6.25e-06,5e-06,0.00350001,0.0052499,2.95816e-08,0,0.0052499,1
6,7.5e-06,0.138168,452.717,0.0334752,0.0035,7.5e-06,5e-06,0.00350001,0.00585823,1.86883e-08,0,0.00585823,1
7,8.75e-06,0.148876,395.454,0.0334701,0.0035,8.75e-06,5e-06,0.00350001,0.00638874,-3.19922e-09,0,0.00638874,1
8,1e-05,0.160105,338.126,0.0334658,0.0035,1e-05,5e-06,0.00350002,0.00691883,-1.03959e-08,0,0.00691883,1
9,1.125e-05,0.168317,298.925,0.0334636,0.0035,1.125e-05,5e-06,0.00350002,0.00725731,-3.78489e-09,0,0.00725731,1
10,1.25e-05,0.176843,259.832,0.0334615,0.0035,1.25e-05,5e-06,0.00350003,0.00758315,1.87609e-09,0,0.00758315,1
11,1.375e-05,0.186153,221.008,0.03346,0.0035,1.375e-05,5e-06,0.00350003,0.0078774,5.162e-09,0,0.0078774,1
12,1.5e-05,0.195835,185.02,0.0334589,0.0035,1.5e-05,5e-06,0.00350004,0.00812732,2.82173e-09,0,0.00812732,1
13,1.625e-05,0.205795,151.16,0.0334582,0.0035,1.625e-05,5e-06,0.00350004,0.008344,-3.7382e-09,0,0.008344,1
14,1.75e-05,0.216945,121.381,0.0334579,0.0035,1.75e-05,5e-06,0.00350005,0.00850278,-1.17815e-08,0,0.00850278,1
15,1.875e-05,0.228521,93.0177,0.0334578,0.0035,1.875e-05,5e-06,0.00350005,0.00864374,-1.8358e-08,0,0.00864374,1
16,2e-05,0.24146,69.0695,0.0334578,0.0035,2e-05,5e-06,0.00350006,0.00873571,-1.46505e-08,0,0.00873571,1
17,2.125e-05,0.254997,47.5299,0.0334579,0.0035,2.125e-05,5e-06,0.00350007,0.00880819,-1.15498e-08,0,0.00880819,1
18,2.25e-05,0.269331,29.2018,0.0334581,0.0035,2.25e-05,5e-06,0.00350008,0.00885468,-9.25811e-09,0,0.00885468,1
19,2.375e-05,0.278768,18.4527,0.0334582,0.0035,2.375e-05,5e-06,0.00350008,0.00887755,-5.01862e-09,0,0.00887755,1
20,2.5e-05,0.286246,10.7352,0.0334583,0.0035,2.5e-05,5e-06,0.00350009,0.00889097,0,0,0.00889097,1
21,2.625e-05,0.278768,18.4527,0.0334582,0.0035,2.625e-05,5e-06,0.0035001,0.00887755,5.01862e-09,0,0.00887755,1
22,2.75e-05,0.269331,29.2018,0.0334581,0.0035,2.75e-05,5e-06,0.00350011,0.00885468,9.25811e-09,0,0.00885468,1
23,2.875e-05,0.254997,47.5298,0.0334579,0.0035,2.875e-05,5e-06,0.00350012,0.00880819,1.15498e-08,0,0.00880819,1
24,3e-05,0.24146,69.0694,0.0334578,0.0035,3e-05,5e-06,0.00350013,0.00873571,1.46505e-08,0,0.00873571,1
25,3.125e-05,0.228521,93.0177,0.0334578,0.0035,3.125e-05,5e-06,0.00350014,0.00864374,1.8358e-08,0,0.00864374,1
26,3.25e-05,0.216945,121.381,0.0334579,0.0035,3.25e-05,5e-06,0.00350015,0.00850278,1.17815e-08,0,0.00850278,1
27,3.375e-05,0.205795,151.16,0.0334582,0.0035,3.375e-05,5e-06,0.00350017,0.008344,3.73821e-09,0,0.008344,1
28,3.5e-05,0.195835,185.02,0.0334589,0.0035,3.5e-05,5e-06,0.00350018,0.00812732,-2.82171e-09,0,0.00812732,1
29,3.625e-05,0.186153,221.008,0.03346,0.0035,3.625e-05,5e-06,0.00350019,0.0078774,-5.162e-09,0,0.0078774,1
30,3.75e-05,0.176843,259.832,0.0334615,0.0035,3.75e-05,5e-06,0.0035002,0.00758316,-1.87609e-09,0,0.00758316,1
31,3.875e-05,0.168317,298.925,0.0334636,0.0035,3.875e-05,5e-06,0.00350022,0.00725731,3.78489e-09,0,0.00725731,1
32,4e-05,0.160105,338.126,0.0334658,0.0035,4e-05,5e-06,0.00350023,0.00691883,1.03959e-08,0,0.00691883,1
33,4.125e-05,0.148876,395.454,0.0334701,0.0035,4.125e-05,5e-06,0.00350025,0.00638874,3.19923e-09,0,0.00638874,1
34,4.25e-05,0.138168,452.717,0.0334752,0.0035,4.25e-05,5e-06,0.00350026,0.00585823,-1.86883e-08,0,0.00585823,1
35,4.375e-05,0.125677,519.731,0.033482,0.0035,4.375e-05,5e-06,0.00350028,0.0052499,-2.95816e-08,0,0.0052499,1
36,4.5e-05,0.110253,602.05,0.033491,0.0035,4.5e-05,5e-06,0.00350029,0.00455137,-4.15434e-08,0,0.00455137,1
37,4.625e-05,0.0897472,711.349,0.0335031,0.0035,4.625e-05,5e-06,0.00350031,0.00374386,-5.71469e-09,0,0.00374386,1
38,4.75e-05,0.0534264,892.151,0.0335187,0.0035,4.75e-05,5e-06,0.00350033,0.00275441,1.35502e-07,0,0.00275441,1
39,4.875e-05,0.00715568,1117.67,0.0335298,0.0035,4.875e-05,5e-06,0.00350034,0.00150199,-1.01837e-07,0,0.00150199,1
40,5e-05,-2.31459e-06,1231.64,0.0335308,0.0035,5e-05,5e-06,0.00350036,0,0,0,0,1
