Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
47,3.85246e-05,0.174247,260.787,0.0308623,0.0035,3.85246e-05,5e-06,0.00350022,0.00738723,-3.64104e-08,0,0.00738723,1
48,3.93443e-05,0.166651,289.67,0.0308652,0.0035,3.93443e-05,5e-06,0.00350022,0.00716227,-4.39239e-08,0,0.00716227,1
49,4.01639e-05,0.158578,321.332,0.0308687,0.0035,4.01639e-05,5e-06,0.00350023,0.00691263,-5.11341e-08,0,0.00691263,1
50,4.09836e-05,0.149785,356.473,0.0308729,0.0035,4.09836e-05,5e-06,0.00350024,0.00663581,-5.78164e-08,0,0.00663581,1
51,4.18033e-05,0.140057,396.112,0.030878,0.0035,4.18033e-05,5e-06,0.00350025,0.00632863,-6.35417e-08,0,0.00632863,1
52,4.26229e-05,0.128944,441.735,0.030884,0.0035,4.26229e-05,5e-06,0.00350026,0.00598691,-7.05557e-08,0,0.00598691,1
53,4.34426e-05,0.116045,495.691,0.0308912,0.0035,4.34426e-05,5e-06,0.00350027,0.00560505,-7.52728e-08,0,0.00560505,1
54,4.42623e-05,0.100303,562.245,0.0308997,0.0035,4.42623e-05,5e-06,0.00350028,0.00517505,-5.22259e-08,0,0.00517505,1
55,4.5082e-05,0.0801427,650.042,0.0309097,0.0035,4.5082e-05,5e-06,0.00350029,0.00468443,5.29962e-08,0,0.00468443,1
56,4.59016e-05,0.0511969,767.023,0.0309195,0.0035,4.59016e-05,5e-06,0.0035003,0.00411095,1.19298e-07,0,0.00411095,1
57,4.67213e-05,0.0193614,895.832,0.0309264,0.0035,4.67213e-05,5e-06,0.00350032,0.00342849,-5.83304e-08,0,0.00342849,1
58,4.7541e-05,0.00274113,996.282,0.030929,0.0035,4.7541e-05,5e-06,0.00350033,0.00264326,-1.82623e-07,0,0.00264326,1
59,4.83607e-05,4.90441e-05,1055.66,0.0309293,0.0035,4.83607e-05,5e-06,0.00350034,0.00179576,-7.79053e-08,0,0.00179576,1
60,4.91803e-05,-8.05558e-07,1095.71,0.030929,0.0035,4.91803e-05,5e-06,0.00350035,0.000913138,-3.74191e-09,0,0.000913138,1
61,5e-05,6.31619e-07,1132.91,0.0309289,0.0035,5e-05,5e-06,0.00350036,0,0,0,0,1
