Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,0.343827,29.0061,14.1123,1.50552,0,5e-06,1.50552,0,0,0,0,1
1,4.86486e-05,0.352882,26.0325,14.1123,1.50552,4.86486e-05,5e-06,1.50552,0.00135098,-4.114e-07,0,0.00135098,1
2,9.72973e-05,0.362871,23.1674,14.1122,1.50552,9.72973e-05,5e-06,1.50552,0.00255327,-6.25625e-07,0,0.00255327,1
3,0.000145946,0.373629,20.3825,14.1122,1.50552,0.000145946,5e-06,1.50552,0.00361188,-6.4002e-07,0,0.00361188,1
4,0.000194595,0.385519,17.6709,14.1122,1.50552,0.000194595,5e-06,1.50552,0.00453321,-5.36005e-07,0,0.00453321,1
5,0.000243243,0.39837,15.0625,14.1121,1.50552,0.000243243,5e-06,1.50552,0.00532397,-4.51681e-07,0,0.00532397,1
6,0.000291892,0.41268,12.5939,14.1121,1.50552,0.000291892,5e-06,1.50552,0.00599096,-3.81787e-07,0,0.00599096,1
7,0.000340541,0.428155,10.2946,14.1121,1.50552,0.000340541,5e-06,1.50552,0.00654197,-2.98357e-07,0,0.00654197,1
8,0.000389189,0.445336,8.19418,14.1121,1.50552,0.000389189,5e-06,1.50552,0.00698578,-2.24675e-07,0,0.00698578,1
9,0.000437838,0.463652,6.32232,14.112,1.50552,0.000437838,5e-06,1.50552,0.00733289,-1.84382e-07,0,0.00733289,1
10,0.000486486,0.4834,4.71018,14.112,1.50552,0.000486486,5e-06,1.50552,0.00759506,-1.57626e-07,0,0.00759506,1
11,0.000535135,0.503382,3.37967,14.112,1.50552,0.000535135,5e-06,1.50552,0.00778587,-1.26321e-07,0,0.00778587,1
12,0.000583784,0.523345,2.33516,14.112,1.50552,0.000583784,5e-06,1.50552,0.00791931,-8.70671e-08,0,0.00791931,1
13,0.000632432,0.541686,1.55734,14.1119,1.50552,0.000632432,5e-06,1.50552,0.00800928,-4.57734e-08,0,0.00800928,1
14,0.000681081,0.558113,1.00388,14.1119,1.50552,0.000681081,5e-06,1.50552,0.00806785,-8.78556e-09,0,0.00806785,1
15,0.00072973,0.57176,0.623,14.1119,1.50552,0.00072973,5e-06,1.50552,0.0081047,2.10635e-08,0,0.0081047,1
16,0.000778378,0.582997,0.363695,14.1119,1.50552,0.000778378,5e-06,1.50552,0.00812683,3.8338e-08,0,0.00812683,1
17,0.000827027,0.591945,0.18532,14.1119,1.50552,0.000827027,5e-06,1.50552,0.00813897,3.73334e-08,0,0.00813897,1
18,0.000875676,0.597652,0.0830793,14.1119,1.50552,0.000875676,5e-06,1.50552,0.00814422,1.61452e-08,0,0.00814422,1
19,0.000924324,0.597652,0.0830816,14.1119,1.50552,0.000924324,5e-06,1.50552,0.00814422,-1.49353e-08,0,0.00814422,1
20,0.000972973,0.591945,0.185324,14.1119,1.50552,0.000972973,5e-06,1.50552,0.00813897,-3.617e-08,0,0.00813897,1
21,0.00102162,0.582998,0.363697,14.1119,1.50552,0.00102162,5e-06,1.50552,0.00812683,-3.70072e-08,0,0.00812683,1
22,0.00107027,0.571761,0.622999,14.1119,1.50552,0.00107027,5e-06,1.50552,0.0081047,-1.92705e-08,0,0.0081047,1
23,0.00111892,0.558113,1.00388,14.1119,1.50552,0.00111892,5e-06,1.50552,0.00806785,1.16657e-08,0,0.00806785,1
24,0.00116757,0.541686,1.55734,14.1119,1.50552,0.00116757,5e-06,1.50552,0.00800928,5.13359e-08,0,0.00800928,1
25,0.00121622,0.523345,2.33517,14.1119,1.50552,0.00121622,5e-06,1.50552,0.00791931,9.84436e-08,0,0.00791931,1
26,0.00126486,0.503381,3.37976,14.112,1.50552,0.00126486,5e-06,1.50552,0.00778587,1.48422e-07,0,0.00778587,1
27,0.00131351,0.483395,4.71038,14.112,1.50552,0.00131351,5e-06,1.50552,0.00759505,1.95232e-07,0,0.00759505,1
28,0.00136216,0.463647,6.32254,14.112,1.50552,0.00136216,5e-06,1.50552,0.00733286,2.36935e-07,0,0.00733286,1
29,0.00141081,0.445335,8.19423,14.112,1.50552,0.00141081,5e-06,1.50552,0.00698575,2.76333e-07,0,0.00698575,1
30,0.00145946,0.428159,10.2944,14.1121,1.50552,0.00145946,5e-06,1.50552,0.00654194,3.19626e-07,0,0.00654194,1
31,0.00150811,0.412689,12.5934,14.1121,1.50552,0.00150811,5e-06,1.50552,0.00599096,3.76448e-07,0,0.00599096,1
32,0.00155676,0.398378,15.062,14.1121,1.50552,0.00155676,5e-06,1.50552,0.005324,4.59269e-07,0,0.005324,1
33,0.00160541,0.385521,17.6707,14.1121,1.50552,0.00160541,5e-06,1.50552,0.00453326,5.51958e-07,0,0.00453326,1
34,0.00165405,0.373625,20.3826,14.1122,1.50552,0.00165405,5e-06,1.50552,0.00361192,6.33084e-07,0,0.00361192,1
35,0.0017027,0.36287,23.1674,14.1122,1.50552,0.0017027,5e-06,1.50552,0.0025533,6.05533e-07,0,0.0025533,1
36,0.00175135,0.352883,26.0329,14.1122,1.50552,0.00175135,5e-06,1.50552,0.00135102,4.0073e-07,0,0.00135102,1
37,0.0018,0.343818,29.0079,14.1123,1.50552,0.0018,5e-06,1.50552,0,0,0,0,1
