Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,-2.32368e-06,2231.69,0.119023,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,6.75676e-07,3.36954e-06,2111.04,0.119023,0.0035,6.75676e-07,5e-06,0.0035,0.001466,-3.38213e-08,0,0.001466,1
2,1.35135e-06,-4.31934e-06,1990.35,0.119023,0.0035,1.35135e-06,5e-06,0.0035,0.00285055,-1.01384e-08,0,0.00285055,1
3,2.02703e-06,3.50742e-05,1864.43,0.119024,0.0035,2.02703e-06,5e-06,0.0035,0.00415358,2.82173e-07,0,0.00415358,1
4,2.7027e-06,0.00290675,1690.1,0.119023,0.0035,2.7027e-06,5e-06,0.0035,0.00536811,7.72037e-07,0,0.00536811,1
5,3.37838e-06,0.0285998,1403.05,0.119009,0.0035,3.37838e-06,5e-06,0.00350001,0.0064357,6.87233e-08,0,0.0064357,1
6,4.05405e-06,0.0864764,1045.57,0.11897,0.0035,4.05405e-06,5e-06,0.00350001,0.00726134,-8.8937e-07,0,0.00726134,1
7,4.72973e-06,0.140842,747.164,0.118916,0.0035,4.72973e-06,5e-06,0.00350001,0.00784368,-5.02493e-07,0,0.00784368,1
8,5.40541e-06,0.173577,555.695,0.118867,0.0035,5.40541e-06,5e-06,0.00350001,0.0082662,5.55274e-08,0,0.0082662,1
9,6.08108e-06,0.195222,433.771,0.118832,0.0035,6.08108e-06,5e-06,0.00350001,0.00859195,1.31563e-07,0,0.00859195,1
10,6.75676e-06,0.211596,346.086,0.118807,0.0035,6.75676e-06,5e-06,0.00350001,0.00885096,6.02724e-08,0,0.00885096,1
11,7.43243e-06,0.224993,277.313,0.11879,0.0035,7.43243e-06,5e-06,0.00350001,0.00905872,2.75437e-08,0,0.00905872,1
12,8.10811e-06,0.236178,220.934,0.118778,0.0035,8.10811e-06,5e-06,0.00350001,0.00922508,2.1223e-08,0,0.00922508,1
13,8.78378e-06,0.246026,173.292,0.118769,0.0035,8.78378e-06,5e-06,0.00350001,0.00935683,1.61911e-08,0,0.00935683,1
14,9.45946e-06,0.254926,132.155,0.118764,0.0035,9.45946e-06,5e-06,0.00350002,0.00945893,1.10628e-08,0,0.00945893,1
15,1.01351e-05,0.263293,96.174,0.118761,0.0035,1.01351e-05,5e-06,0.00350002,0.00953519,7.77669e-09,0,0.00953519,1
16,1.08108e-05,0.271241,64.5234,0.118759,0.0035,1.08108e-05,5e-06,0.00350002,0.00958873,5.95298e-09,0,0.00958873,1
17,1.14865e-05,0.278966,36.6637,0.118758,0.0035,1.14865e-05,5e-06,0.00350002,0.00962227,4.6161e-09,0,0.00962227,1
18,1.21622e-05,0.284538,17.8256,0.118758,0.0035,1.21622e-05,5e-06,0.00350002,0.0096382,1.91106e-09,0,0.0096382,1
19,1.28378e-05,0.284538,17.8263,0.118758,0.0035,1.28378e-05,5e-06,0.00350003,0.0096382,-1.97303e-09,0,0.0096382,1
20,1.35135e-05,0.278966,36.6651,0.118758,0.0035,1.35135e-05,5e-06,0.00350003,0.00962226,-4.67956e-09,0,0.00962226,1
21,1.41892e-05,0.271241,64.5248,0.118759,0.0035,1.41892e-05,5e-06,0.00350003,0.00958873,-6.01928e-09,0,0.00958873,1
