Point ID,y,c,gammadot,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
0,0,2.60212e-07,1878.36,0.100213,0.0035,0,5e-06,0.0035,0,0,0,0,1
1,6.75676e-07,-3.76981e-07,1776.84,0.100213,0.0035,6.75676e-07,5e-06,0.0035,0.00123391,2.9825e-10,0,0.00123391,1
2,1.35135e-06,4.7936e-07,1675.3,0.100213,0.0035,1.35135e-06,5e-06,0.0035,0.00239928,1.86473e-10,0,0.00239928,1
3,2.02703e-06,-5.79892e-07,1573.77,0.100213,0.0035,2.02703e-06,5e-06,0.0035,0.00349609,-2.03138e-09,0,0.00349609,1
4,2.7027e-06,6.95629e-07,1472.24,0.100213,0.0035,2.7027e-06,5e-06,0.0035,0.00452435,-7.33071e-09,0,0.00452435,1
5,3.37838e-06,-8.49934e-07,1370.68,0.100213,0.0035,3.37838e-06,5e-06,0.00350001,0.00548406,-3.69719e-09,0,0.00548406,1
6,4.05405e-06,1.48896e-05,1267.57,0.100213,0.0035,4.05405e-06,5e-06,0.00350001,0.0063752,5.36332e-08,0,0.0063752,1
7,4.72973e-06,0.00131431,1150.58,0.100213,0.0035,4.72973e-06,5e-06,0.00350001,0.00719568,1.76144e-07,0,0.00719568,1
8,5.40541e-06,0.0128166,997.52,0.100211,0.0035,5.40541e-06,5e-06,0.00350001,0.00792889,1.03303e-07,0,0.00792889,1
9,6.08108e-06,0.0420074,812.062,0.100203,0.0035,6.08108e-06,5e-06,0.00350001,0.00854244,-1.48697e-07,0,0.00854244,1
10,6.75676e-06,0.0761176,633.929,0.100192,0.0035,6.75676e-06,5e-06,0.00350001,0.00902445,-1.94027e-07,0,0.00902445,1
11,7.43243e-06,0.102019,492.58,0.100179,0.0035,7.43243e-06,5e-06,0.00350001,0.00939711,-6.27502e-08,0,0.00939711,1
12,8.10811e-06,0.120737,385.748,0.100168,0.0035,8.10811e-06,5e-06,0.00350001,0.00968868,1.69809e-08,0,0.00968868,1
13,8.78378e-06,0.135608,300.718,0.100161,0.0035,8.78378e-06,5e-06,0.00350001,0.00991752,2.53647e-08,0,0.00991752,1
14,9.45946e-06,0.14826,229.24,0.100155,0.0035,9.45946e-06,5e-06,0.00350002,0.0100945,1.80149e-08,0,0.0100945,1
15,1.01351e-05,0.15959,167.272,0.100152,0.0035,1.01351e-05,5e-06,0.00350002,0.0102269,1.39003e-08,0,0.0102269,1
16,1.08108e-05,0.17029,112.641,0.10015,0.0035,1.08108e-05,5e-06,0.00350002,0.0103202,1.22927e-08,0,0.0103202,1
